"County Name","District Name","School Name",middle_school_sum
Warren,"Alpha Borough School District","Alpha Borough School",86
Atlantic,"Atlantic City School District","Sovereign Avenue School",310
Atlantic,"Atlantic City School District","Richmond Avenue School",238
Atlantic,"Atlantic City School District","Texas Avenue School",237
Atlantic,"Atlantic City School District","Uptown School Complex",212
Atlantic,"Atlantic City School District","Pennsylvania Ave School",199
Atlantic,"Atlantic City School District","Dr Martin Luther King Jr School Complex",197
Atlantic,"Atlantic City School District","New York Avenue School",188
Atlantic,"Atlantic City School District","Chelsea Heights School",133
Atlantic,"Atlantic City School District","Brighton Avenue School",26
Ocean,"Barnegat Township School District","Russell O. Brackman Middle School",532
Ocean,"Barnegat Township School District","Robert L. Horbelt Elementary School",515
Ocean,"Barnegat Township School District","Barnegat High School",1
Ocean,"Bay Head Borough School District","Bay Head Elementary",60
Bergen,"Bergenfield Borough School District","Roy W. Brown Middle School",779
Bergen,"Bergenfield Borough School District","Franklin Elementary School",51
Bergen,"Bergenfield Borough School District","Jefferson Elementary School",49
Bergen,"Bergenfield Borough School District","Lincoln Elementary School",49
Bergen,"Bergenfield Borough School District","Hoover Elementary School",43
Bergen,"Bergenfield Borough School District","Washington Elementary School",43
Ocean,"Berkeley Township School District","Berkeley Township Elementary School",605
Camden,"Berlin Borough School District","Berlin Community School",372
Camden,"Berlin Township School District","Dwight D Eisenhower Middle School",237
Burlington,"Beverly City School District","Beverly City School District",121
Essex,"Bloomfield Township School District","Bloomfield Middle School",939
Essex,"Bloomfield Township School District","Demarest Elementary School",150
Essex,"Bloomfield Township School District","Fairview Elementary School",137
Essex,"Bloomfield Township School District","Berkeley Elementary School",135
Essex,"Bloomfield Township School District","Oak View Elementary School",113
Essex,"Bloomfield Township School District","Carteret Elementary School",95
Essex,"Bloomfield Township School District","Franklin Elementary School",92
Essex,"Bloomfield Township School District","Brookdale Elementary School",89
Essex,"Bloomfield Township School District","Watsessing Elementary School",81
Cumberland,"Bridgeton City School District","Broad Street School",462
Cumberland,"Bridgeton City School District","Indian Ave School",308
Cumberland,"Bridgeton City School District","Buckshutem Road School",251
Cumberland,"Bridgeton City School District","Cherry Street School",239
Cumberland,"Bridgeton City School District","Quarter Mile Lane School",230
Cumberland,"Bridgeton City School District","West Avenue School",196
Atlantic,"Buena Regional School District","Buena Regional Middle School",360
Atlantic,"Buena Regional School District","Dr. J.P. Cleary Elementary School",104
Camden,"Camden City School District","Veterans Memorial Family School",251
Camden,"Camden City School District","Octavius V. Catto Community Family School",199
Camden,"Camden City School District","Thomas H. Dudley Family School",193
Camden,"Camden City School District","Henry B. Wilson Family School",179
Camden,"Camden City School District","Dr. Henry H. Davis Elementary School",177
Camden,"Camden City School District","Cooper'S Poynt Family School",155
Camden,"Camden City School District","Forest Hill School",125
Camden,"Camden City School District","Yorkship Elementary School",89
"Cape May","Cape May City School District","Cape May City Elementary School",28
Ocean,"Central Regional School District","Central Regional Middle School",678
Cumberland,"Commercial Township School District","Commercial Township School",180
Cumberland,"Deerfield Township School District","Deerfield Township Elementary School",119
Burlington,"Delanco Township School District","M. Joan Pearson School",43
"Cape May","Dennis Township School District","Dennis Township Elementary/Middle Schools",235
Cumberland,"Downe Township School District","Downe Township Elementary School",63
Ocean,"Eagleswood Township School District","Eagleswood Elementary School",27
Essex,"East Orange School District","Patrick F. Healy Middle School",294
Essex,"East Orange School District","John L. Costley Middle School",286
Essex,"East Orange School District","Cicely L. Tyson Community Middle/High School",276
Essex,"East Orange School District","Sojourner Truth Middle School",240
Essex,"East Orange School District","East Orange Stem Academy High School",236
Essex,"East Orange School District","Whitney E. Houston Academy",185
Essex,"East Orange School District","Benjamin Banneker Academy",167
Essex,"East Orange School District","Shelia Y. Oliver Academy",163
Essex,"East Orange School District","Edward T. Bowser, Sr. School Of Excellence",96
Essex,"East Orange School District","Cicely L. Tyson Community Elementary School",79
Essex,"East Orange School District","Mildred Barry Garvin Elementary",69
Essex,"East Orange School District","Langston Hughes Elementary School",60
Essex,"East Orange School District","Dionne Warwick Institute",43
Essex,"East Orange School District","J. Garfield Jackson Sr. Academy",33
Essex,"East Orange School District","Ecole Toussaint Louverture",33
Mercer,"East Windsor Regional School District","Melvin H. Kreps Middle School",1158
Mercer,"East Windsor Regional School District","Perry L. Drew Elementary School",191
Mercer,"East Windsor Regional School District","Grace N. Rogers Elementary School",165
Burlington,"Edgewater Park Township School District","Samuel M Ridgway Middle School",368
Atlantic,"Egg Harbor City School District","Egg Harbor City Community School",207
Atlantic,"Egg Harbor Township School District","Alder Avenue Middle School",922
Atlantic,"Egg Harbor Township School District","Fernwood Avenue Middle School",806
Atlantic,"Egg Harbor Township School District","Dr. Joyanne D. Miller Elementary School",512
Gloucester,"Elk Township School District","Aura Elementary School",100
Bergen,"Elmwood Park School District","Memorial Middle School",580
Bergen,"Elmwood Park School District","Gilbert Avenue School",73
Bergen,"Elmwood Park School District","Sixteenth Avenue School",67
Bergen,"Elmwood Park School District","Gantner Avenue School",48
Mercer,"Ewing Township School District","Gilmore J Fisher Middle School",813
Mercer,"Ewing Township School District","William L Antheil Elementary School",111
Mercer,"Ewing Township School District","Francis Lore Elementary School",75
Mercer,"Ewing Township School District","Parkway Elementary School",62
Cumberland,"Fairfield Township School District","Fairfield Township School",6
Burlington,"Florence Township School District","Florence Riverfront School",490
Atlantic,"Folsom Borough School District","Folsom Elementary School",172
Sussex,"Franklin Borough School District","Franklin Borough School",192
Hunterdon,"Franklin Township School District","Franklin Township School",234
Warren,"Franklin Township School District","Franklin Township School",122
Monmouth,"Freehold Borough School District","Freehold Intermediate School",476
Monmouth,"Freehold Borough School District","Park Avenue Elementary School",149
Gloucester,"Glassboro School District","Thomas E. Bowe Middle School",396
Gloucester,"Glassboro School District","Dorothy L. Bullock School",154
Warren,"Greenwich Township School District","Stewartsville Middle School",414
Gloucester,"Greenwich Township School District","Nehaunsey Middle School",246
Warren,"Greenwich Township School District","Greenwich School",108
Gloucester,"Greenwich Township School District","Broad Street Elementary School",64
Camden,"Haddon Township School District","William G. Rohrer Middle School",442
Camden,"Haddon Township School District","Strawbridge Elementary School",55
Camden,"Haddon Township School District","Van Sciver Elementary School",51
Camden,"Haddon Township School District","Stoy Elementary School",25
Camden,"Haddon Township School District","Clyde S. Jennings Elementary School",22
Camden,"Haddon Township School District","Thomas A. Edison Elementary School",21
Atlantic,"Hamilton Township School District","William Davies Middle School",1748
Atlantic,"Hamilton Township School District","George L. Hess Educational Complex",522
Hunterdon,"Hampton Borough School District","Hampton Borough School",19
Sussex,"Hardyston Township School District","Hardyston Township Middle School",237
Monmouth,"Henry Hudson Regional School District","Henry Hudson Regional School",109
Monmouth,"Henry Hudson Regional School District","Atlantic Highlands Elementary School",74
Monmouth,"Henry Hudson Regional School District","Highlands Elementary School",34
Cumberland,"Hopewell Township School District","Hopewell Crest",209
Ocean,"Lacey Township School District","Lacey Township Middle School",826
Ocean,"Lacey Township School District","Lanoka Harbor Elementary School",91
Ocean,"Lacey Township School District","Forked River Elementary School",88
Ocean,"Lacey Township School District","Cedar Creek Elementary School",81
Ocean,"Lakewood Township School District","Lakewood Middle School",783
Ocean,"Lakewood Township School District","Clifton Ave Grade School",262
Ocean,"Lavallette Borough School District","Lavallette Elementary School",50
Cumberland,"Lawrence Township School District","Myron L. Powell Elementary School",204
Ocean,"Little Egg Harbor Township School District","Frog Pond Elementary School",410
Gloucester,"Logan Township School District","Logan Middle School",217
Gloucester,"Logan Township School District","Logan Township Elementary School",80
Ocean,"Long Beach Island School District","Long Beach Island Elementary School",36
Warren,"Lopatcong Township School District","Lopatcong Township Middle School",319
"Cape May","Lower Cape May Regional School District","Richard M. Teitelman Middle School",382
Ocean,"Manchester Township School District","Manchester Township Middle School",594
Ocean,"Manchester Township School District","Manchester Township Elementary School",94
Ocean,"Manchester Township School District","Ridgeway Elementary School",68
